All Data,,,,https://docs.google.com/spreadsheets/d/1h0duUBjW9TodESqnlJPdLuK9jl0RrSVYBI7R_S05M0M/edit#gid=2025921830,Filtered Data,,Full Data,,,First 2 Lines,,,First 3 Lines,,,First 4 Lines,
Weekday,Formation,Region,Patpm,,,,Weekday,Count,,Weekday,Count,,Weekday,Count,,Weekday,Count
Sunday,43220,EU,3.6,2str,43,,,,,,,,,,,,
Sunday,43221,EU,3.6,3str,432,,,,,,,,,,,,
Sunday,43230,EU,3.6,2str,43,,,,,,,,,,,,
Sunday,43230,EU,3.6,2str,43,,,,,,,,,,,,
Sunday,43313,EU,3.6,3str,433,,,,,,,,,,,,
Sunday,43320,EU,3.6,2str,43,,,,,,,,,,,,
Sunday,44134,EU,3.6,3str,441,,,,,,,,,,,,
Sunday,44140,EU,3.6,2str,44,,,,,,,,,,,,
Sunday,44144,EU,3.6,3str,441,,,,,,,,,,,,
Sunday,44334,EU,3.6,3str,443,,,,,,,,,,,,
Sunday,44340,EU,3.6,2str,44,,,,,,,,,,,,
Sunday,44340,EU,3.6,2str,44,,,,,,,,,,,,
Sunday,44444,EU,3.6,3str,444,,,,,,,,,,,,
Monday,41121,EU,3.6,3str,411,,,,,,,,,,,,
Monday,41242,EU,3.6,3str,412,,,,,,,,,,,,
Monday,41320,EU,3.6,2str,41,,,,,,,,,,,,
Monday,41420,EU,3.6,2str,41,,,,,,,,,,,,
Monday,42130,EU,3.6,2str,42,,,,,,,,,,,,
Monday,42320,EU,3.6,2str,42,,,,,,,,,,,,
Monday,42340,EU,3.6,2str,42,,,,,,,,,,,,
Monday,42430,EU,3.6,2str,42,,,,,,,,,,,,
Monday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Monday,43110,EU,3.6,2str,43,,,,,,,,,,,,
Monday,43130,EU,3.6,2str,43,,,,,,,,,,,,
Monday,43210,EU,3.6,2str,43,,,,,,,,,,,,
Monday,43240,EU,3.6,2str,43,,,,,,,,,,,,
Monday,43310,EU,3.6,2str,43,,,,,,,,,,,,
Monday,44232,EU,3.6,3str,442,,,,,,,,,,,,
Monday,44232,EU,3.6,3str,442,,,,,,,,,,,,
Monday,44234,EU,3.6,3str,442,,,,,,,,,,,,
Monday,44320,EU,3.6,2str,44,,,,,,,,,,,,
Monday,44433,EU,3.6,3str,444,,,,,,,,,,,,
Monday,44434,EU,3.6,3str,444,,,,,,,,,,,,
Monday,44444,EU,3.6,3str,444,,,,,,,,,,,,
Tuesday,41130,EU,3.6,2str,41,,,,,,,,,,,,
Tuesday,41133,EU,3.6,3str,411,,,,,,,,,,,,
Tuesday,41142,EU,3.6,3str,411,,,,,,,,,,,,
Tuesday,41211,EU,3.6,3str,412,,,,,,,,,,,,
Tuesday,41220,EU,3.6,2str,41,,,,,,,,,,,,
Tuesday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Tuesday,42220,EU,3.6,2str,42,,,,,,,,,,,,
Tuesday,42232,EU,3.6,3str,422,,,,,,,,,,,,
Tuesday,42320,EU,3.6,2str,42,,,,,,,,,,,,
Tuesday,42424,EU,3.6,3str,424,,,,,,,,,,,,
Tuesday,43220,EU,3.6,2str,43,,,,,,,,,,,,
Tuesday,43240,EU,3.6,2str,43,,,,,,,,,,,,
Tuesday,43334,EU,3.6,3str,433,,,,,,,,,,,,
Tuesday,44421,EU,3.6,3str,444,,,,,,,,,,,,
Wednesday,41114,EU,3.6,3str,411,,,,,,,,,,,,
Wednesday,41120,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41122,EU,3.6,3str,411,,,,,,,,,,,,
Wednesday,41220,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41220,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41221,EU,3.6,3str,412,,,,,,,,,,,,
Wednesday,41320,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41330,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41330,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41412,EU,3.6,3str,414,,,,,,,,,,,,
Wednesday,41420,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41432,EU,3.6,3str,414,,,,,,,,,,,,
Wednesday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42111,EU,3.6,3str,421,,,,,,,,,,,,
Wednesday,42120,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42210,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42220,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42240,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42320,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42330,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42413,EU,3.6,3str,424,,,,,,,,,,,,
Wednesday,43110,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43110,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43130,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43132,EU,3.6,3str,431,,,,,,,,,,,,
Wednesday,43140,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43210,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43330,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43334,EU,3.6,3str,433,,,,,,,,,,,,
Wednesday,43340,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43430,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43432,EU,3.6,3str,434,,,,,,,,,,,,
Wednesday,43434,EU,3.6,3str,434,,,,,,,,,,,,
Wednesday,44110,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44110,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44113,EU,3.6,3str,441,,,,,,,,,,,,
Wednesday,44120,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44130,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44240,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44313,EU,3.6,3str,443,,,,,,,,,,,,
Wednesday,44320,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44331,EU,3.6,3str,443,,,,,,,,,,,,
